,승민,서연,집,은채,웃는,낮,납뜩,앞,재욱,밤,하는,과거,어머니,말,아버지,그냥,앉아,보는,잠시,못,애,생각,보면,거실,마당,손,옆,지금,엄마,모델,고개,무슨,소리,아빠,눈,얘기,표정,돈,난,얼굴,살,화면,오늘,보고,돼,막,층,동네,도면,된
하는,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0396199149590909e-05,4.0105375537378616e-06,1.0850639500523362e-05,9.047694014226594e-06,3.3230613813744627e-06,3.88821637146464e-06,0.00015457861868546345,1.2377861452121195e-05,3.736836991696748e-06,6.0331097060668954e-06,2.4992418966246906e-05,1.008328795853752e-05,1.9640104254910747e-06,2.0693191567496846e-06,5.121691387363763e-05,6.243039011502175e-06,8.138020833333334e-05,7.535991897301512e-06,2.5568895132244883e-06,8.566856317828086e-06,3.5924942735641284e-06,0.00011095331084679567,9.402561257686594e-05,1.5560165975103734e-05,3.684881691960104e-06,3.476068427565686e-05,2.8006811256497583e-06,7.575738445104937e-06,3.5845103272132202e-06,0.0014750712951125972,4.7999308809953135e-06,4.040214680847281e-06,3.822493590952413e-05,6.3131339701742295e-06,6.16217615196748e-06,1.938932418639811e-06,8.592394012819853e-05,2.125297630222299e-06,7.021025631424239e-06
과거,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6401347534713452e-06,2.771600701030204e-06,0.0019161982626469088,1.468618414849651e-06,2.39486158498326e-05,6.629667230483033e-06,2.946705298627955e-06,1.5740328237262154e-06,2.060141575675936e-06,3.951804841962055e-06,0.04189944134078213,5.523980889972244e-06,6.083262835076256e-06,3.376538013064951e-05,0.00011639365887346459,5.730648078991253e-06,2.315559152733819e-06,9.179572635816367e-06,0.0009592632857965083,1.5380456351469678e-06,2.130591025950599e-05,2.29990095093238e-05,0.0003008121929208864,1.5611722717694935e-06,4.944147612471118e-05,1.3246188718274054e-06,2.3218182499248503e-06,1.948492256691772e-05,1.2343880767986886e-05,4.375946298387026e-05,1.6471422658187837e-06,4.438697153611472e-05,2.1107555660624277e-06,0.00010987079194866836,5.39590860625839e-06,2.407631227940079e-05,6.395159461169444e-06,0.00020950598488763496
어머니,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4317370870707782e-05,1.5616082566184601e-06,0.00036213514883754616,1.1131855116976132e-06,5.593992499574857e-06,2.023273035300719e-05,0.0027412280701754384,0.00010689547048259742,1.065847337975217e-05,1.6227940684063956e-06,8.09486927757501e-07,8.303619752672811e-07,2.5285720209797308e-06,1.357154102133989e-06,6.458891309777039e-06,5.034773502322709e-05,9.190825338259901e-07,1.5309844459635214e-06,0.0011052166224580018,2.8940416120737875e-06,2.821197045191063e-06,1.8709829995000732e-06,0.00189465706707086,2.3237580558882403e-06,8.985264166766503e-05,4.9653090408347015e-05,1.07375140249829e-06,3.6446247858782938e-06,1.2188872924173996e-06,0.2631578947368421,2.3750641069386865e-06,8.86975649561834e-05,1.3501500826831911e-06,8.044147137533143e-07,2.78025838609337e-06,8.411896474117141e-07,1.420858063762616e-06
말,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.588765757601436e-06,1.5411708377599186e-05,1.6345273192171922e-06,1.9861867333319208e-05,0.0025693730729701952,2.0346349118935263e-05,8.810624438322693e-05,9.072763563781528e-05,2.7308153395359254e-06,1.0727313270015485e-06,1.1092301443644545e-06,5.187100441975538e-06,2.134909788675243e-06,2.651544613121964e-05,0.00025801568735379113,1.2677910705671527e-06,2.5187529553368007e-06,1.849130662038087e-05,6.379254324709149e-06,6.131759242605099e-06,3.337037444897169e-06,1.9660888986756423e-05,4.571528883833794e-06,1.0623710989733245e-05,0.00026638252530633994,1.5577912514027911e-06,9.237067489709906e-06,1.8458798607862022e-06,2.478716091163873e-05,4.722294455837417e-06,0.0001061150570191573,2.1199238071118074e-06,1.0639087126605279e-06,5.994861204975095e-06,1.1282820172494012e-06,2.2729122051294173e-06
아버지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4034015553338076e-06,3.0292565598550804e-05,5.93749010418316e-06,2.7454792481120713e-06,1.5007236489435207e-06,1.946051558689996e-06,3.635134300036715e-06,0.0030998140111593306,6.141246206245157e-06,6.802573005213492e-06,2.6362177656472703e-05,0.00020477815699658703,5.174281887288273e-06,2.1779472962889665e-06,1.0559320148731544e-05,0.011210762331838566,1.467530879295585e-06,1.747416735592549e-05,1.8721753554324912e-05,0.00015440517977909765,1.488865519214554e-06,3.675740845567424e-05,1.269986787480792e-06,2.1836133502044154e-06,2.404401015618989e-05,1.0608953957139825e-05,6.063104794703272e-05,1.5680564734493542e-06,3.3487076221050426e-05,1.99211335603103e-06,0.00018975332068311198,5.990609121141698e-06,1.9508439350863186e-05,7.173793272321019e-06,0.0004672606068157747
그냥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0247199337948946e-06,4.470661729466549e-06,1.3305716579366383e-05,0.0008933889219773674,4.498236691217043e-05,7.82214731502186e-06,1.4542431129954654e-06,7.61511077600111e-07,7.79789519212974e-07,2.187248922050823e-06,1.2321175591291165e-06,5.074153681907395e-06,2.6801747473935303e-05,8.571666618855815e-07,1.377884377037116e-06,0.0019794140934283454,2.4739076955351904e-06,2.41714510025351e-06,1.6586234486894884e-06,0.0011426830197303268,2.0244663506699632e-06,0.0003558381173791336,2.6532283598272927e-05,9.90868715411044e-07,3.048837498587372e-06,1.1149979941186086e-06,0.00033670789467777056,2.06539423694423e-06,3.978948708698512e-05,1.2262103442041922e-06,7.57065675018304e-07,2.385164657456963e-06,7.892595871625139e-07,1.2857227347493996e-06
앉아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.951556109573569e-06,1.7074459784012637e-06,1.0794461383453074e-06,1.3181639031360438e-06,2.095774373960758e-06,2.5124365609768353e-05,1.9650792319946343e-05,2.3806651895961758e-05,7.169681995924753e-06,7.953593433513261e-05,2.6872199580901176e-06,1.4357690069733386e-06,6.136374793408716e-05,3.3680012933124965e-05,1.0608929196218722e-06,5.756263678321565e-06,5.980575092100857e-06,1.4645219556249849e-05,1.0728310297922673e-06,8.435743256466842e-06,9.4802358019051e-07,1.4385905955304717e-06,0.001987018148099086,4.2942549453355666e-06,0.0003487966515521451,1.1167370046571098e-06,8.070729723098644e-06,1.3418614892998623e-06,8.352404657300837e-05,1.877889602626041e-05,6.116968675003416e-06,2.639190929628613e-05,5.431673172604089e-05
보는,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.382835956041442e-05,5.1397744529909375e-06,9.230598819714097e-06,6.940717022339855e-05,6.471620649129438e-06,1.630206110762398e-06,1.707084160273352e-06,2.073492881698937e-05,4.39243154761469e-06,0.0010763490241102183,1.2247877442839157e-05,2.0552500540530767e-06,5.68337034470399e-06,4.903943195337462e-06,3.2627846779631526e-05,2.978932985923549e-05,9.050101361135246e-06,5.054589567327133e-06,1.609272844700879e-05,3.656706448382419e-06,1.2331307710520085e-05,2.7532342242432185e-06,8.83017801638881e-05,3.5283258705320813e-06,5.6437952491284094e-06,1.715054058503924e-05,9.77248355291018e-06,4.345414067264114e-06,1.6118043392029338e-06,2.83096853095381e-05,1.7476953578240214e-06,4.837124348923063e-06
잠시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7190617590127544e-05,6.278304690312158e-05,0.00013744948731341232,2.9017563944554787e-06,1.1072091420634954e-06,1.1459255604464083e-06,5.664186256569512e-06,2.2491099147512373e-06,3.2794626928324065e-05,0.00014885973443423377,1.314588585479896e-06,2.6686127376799935e-06,1.5744692464170328e-05,7.0408189129538866e-06,6.753270608955917e-06,3.5733113662031927e-06,1.6658263498190913e-05,4.962020693611101e-06,9.404424091877462e-06,0.00015250411761117552,1.6249398366025498e-06,1.0422377260874187e-05,1.935480124877178e-06,2.0588162630014246e-05,5.133426305387531e-06,7.335788377176895e-05,2.2327990741326507e-06,1.0978566873250358e-06,6.594606666883556e-06,1.166151337911825e-06,2.3995515718022614e-06
못,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46075642122436e-05,9.468943758261654e-06,1.5578554810704462e-06,7.9131386377669e-07,8.111964141224753e-07,2.395147240079819e-06,1.3092239452870078e-06,5.8948291737453735e-06,3.909365275453877e-05,8.95570962759383e-07,1.4720987962795352e-06,0.008296460176991151,2.7289870273053347e-06,2.6626128681594813e-06,1.7888093517998882e-06,0.06666666666666667,2.2071121688246587e-06,0.00013385208452312966,3.861858738356496e-05,1.0421685359522612e-06,3.408395286598326e-06,1.1791759878890766e-06,0.0022569966897381887,2.2542814440325788e-06,6.377117202911366e-05,1.302646909044677e-06,7.86481061680223e-07,2.625275982137622e-06,8.215048276141947e-07,1.3689914849642297e-06
애,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2462992220317027e-05,2.0348441282266524e-06,9.167535239699876e-07,9.437127856693313e-07,3.4318927162881745e-06,1.6547132023499134e-06,1.1160066603277489e-05,0.0005084745762711864,1.0593307868433658e-06,1.9018857704583632e-06,6.227528999526708e-05,4.037761142201872e-06,3.91511406293311e-06,2.4024239496682573e-06,6.98675311609189e-05,3.102782782451488e-06,2.45669662744687e-05,0.00048657065005838855,1.2649294884030631e-06,5.355434855954869e-06,1.4624668842654895e-06,0.00011132716828214758,3.184514597178011e-06,0.01111934766493699,1.644880949548102e-06,9.102168749475488e-07,3.8465976843481934e-06,9.57732763060937e-07,1.7445939975033698e-06
생각,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.880569522731342e-06,1.282727180604139e-06,1.3333246222791344e-06,8.77232996592827e-06,2.8789499433134756e-06,0.00012449269227896324,3.5858059457443656e-05,1.5567873202786338e-06,3.515693940560866e-06,8.874332354395871e-06,1.159211519780399e-05,1.0982180314222142e-05,4.974299452827061e-06,9.252371382785409e-06,7.43147805657931e-06,5.983793493701659e-06,3.6282890440184026e-05,1.9804924137898254e-06,1.9612868133534865e-05,2.4199863770900215e-06,1.0792492742048631e-05,7.752723273261788e-06,2.4604482936791083e-05,2.8547160766000257e-06,1.2705442236422108e-06,1.065036828973546e-05,1.3598616349852148e-06,3.104334188611895e-06
보면,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.647639267960529e-06,6.2268723582494024e-06,3.1939765860223066e-05,0.00012967365463583316,5.604191636453847e-06,2.28497647769048e-06,9.450455984501252e-06,0.0013315579227696406,1.5224908437400658e-06,2.0386639411994954e-05,2.196852642447587e-05,0.00025570215812621455,1.5452182628522371e-06,4.622781065088757e-05,1.3125961230548364e-06,2.291102259989091e-06,2.0342789566047613e-05,1.1938454877415945e-05,4.671441918405481e-05,1.6296768942834575e-06,4.164746255893116e-05,2.0844363475672543e-06,0.00012201966957073482,5.5151438496586495e-06,2.2972979181886266e-05,6.550327035994484e-06,0.00024254968225991623
