,승민,서연,집,은채,웃는,낮,납뜩,앞,재욱,밤,하는,과거,어머니,말,아버지,그냥,앉아,보는,잠시,못,애,생각,보면,거실,마당,손,옆,지금,엄마,모델,고개,무슨,소리,아빠,눈,얘기,표정,돈,난,얼굴,살,화면,오늘,보고,돼,막,층,동네,도면,된
아빠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.370158228862273e-05,2.6321783451740416e-06,0.00022447025020950556,2.0963891792776123e-06,4.675090556504079e-06,5.397191948972789e-06,0.00016806157776209205,7.839952082212874e-06,2.8382203072013976e-06,0.0002888837531777213,4.0572889195439606e-06,1.0923549716715944e-05,2.551952217927192e-06,0.04398826979472141,2.846901603109272e-06,1.306032039577995e-05
눈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77287005323456e-06,0.00013933916080668084,1.4825298680350747e-06,2.7413177441294223e-06,1.2453817094939599e-05,1.9268738527071935e-05,2.3021070418384935e-05,1.8797183279679904e-06,0.00011657276083155236,2.467518410154858e-06,4.279075605560516e-05,4.244387292983546e-06,4.6574738482843424e-05,4.921939677363573e-06,6.23612462271446e-05
얘기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1846071704924236e-06,0.00014669065873885152,3.6834040546911836e-05,1.035972343958565e-06,3.363411198544854e-06,1.171402892603733e-06,0.0016099602876462381,2.2309918379907273e-06,6.001368311975131e-05,1.29336708331625e-06,7.829470377042239e-07,2.595520339535589e-06,8.176280387111991e-07,1.3588696958106773e-06
표정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7816995227895999e-06,3.6211338059637173e-06,7.461335360163632e-06,4.8415208830934096e-05,1.1730388745083012e-05,2.3362193429616723e-06,0.01595744680851064,3.2010666807798137e-06,1.7818768865621538e-05,3.1354370862006906e-06,0.00026026755504658785,3.5492701399193275e-06,2.2495332218564647e-05
돈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644680937380418e-05,9.188228861997121e-07,2.5904185598308977e-06,1.0255501285911666e-06,8.663058983880935e-05,1.8147959588607535e-06,2.243034257114531e-05,1.1203755797710214e-06,7.151487285275403e-07,2.0709913752873846e-06,7.433986202521608e-07,1.1708217863473868e-06
난,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3767130095799952e-06,6.624797943662718e-06,1.6073757544084156e-06,5.103915724143563e-05,3.725595486763953e-06,0.0007778469197261979,1.8228684682521328e-06,9.700114807325488e-07,4.5848719399418455e-06,1.0239100051366152e-06,1.9416354732141033e-06
얼굴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94075107037367e-06,0.0001733242434396774,1.0770739777490877e-06,7.158202966550195e-06,1.2869567873371688e-06,5.7583563347678044e-05,2.2987378396768284e-05,5.513505884013479e-06,3.364918703564122e-05,4.0052121160336655e-05
살,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.368929575034908e-06,3.6701647414613614e-06,5.419721281800214e-05,5.587949103469446e-06,7.009630765362891e-06,2.0690471375836343e-06,0.00014910240353074492,2.276979013539828e-06,8.064043558737688e-06
화면,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2230738258776655e-06,1.1130800260015495e-05,1.490878655299015e-06,0.00031946840457478757,1.2440534246302673e-05,8.047154177572796e-06,1.6309169667553887e-05,0.00014773085408131104
오늘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387973781958253e-06,9.203639732726302e-05,1.3551670622851044e-06,8.062936270363584e-07,2.796889858477373e-06,8.432532237149116e-07,1.4263411065278545e-06
보고,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2869637702088014e-06,1.6698988486604075e-05,3.055676254767619e-06,0.00034198946672442485,3.4524108184745407e-06,2.091221887007099e-05
돼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.679625913716497e-06,9.221157663476679e-07,3.984861775771297e-06,9.708837780272303e-07,1.7829701036921923e-06
막,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74009746956698e-06,1.1268502881731804e-05,1.0919430617209898e-05,0.0014398157035899405
층,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.587624290063713e-06,0.0007516159743448414,7.552736986004779e-06
동네,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8894212701086867e-06,1.3513878753479824e-05
도면,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27338113040043e-06
된,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
